Symbol,Year,Average Price,Closing Price
CWT,2018,46.197226885305454,49.1669807434082
DOV,2022,140.72730513492903,137.77999877929688
DOV,2021,145.68360035003178,118.3947525024414
DOV,2020,135.5029785338626,152.53297424316406
DOV,2019,98.08642296962054,105.49761199951172
DOV,2018,83.93646723530682,89.40985870361328
EMR,2022,88.32076147922956,94.8499984741211
EMR,2021,86.8126607622419,73.78783416748047
EMR,2020,83.9630646572645,90.870361328125
EMR,2019,59.90364649191321,61.16261291503906
EMR,2018,58.428306777163804,59.02965545654297
FMCB,2022,976.6567961552229,955.0
FMCB,2021,923.2069566514757,939.9070434570312
FMCB,2020,776.3736331529351,867.0477905273438
FMCB,2019,693.1024486040214,688.058837890625
FMCB,2018,695.3707068697864,726.1486206054688
FRT,2022,96.93705366522192,86.66999816894531
FRT,2021,107.99430925883944,87.17062377929688
FRT,2020,92.99508273364063,111.33089447021484
FRT,2019,86.71405979171692,69.28623962402344
FRT,2018,108.40757192178552,114.98771667480469
FUL,2022,69.27009763375696,68.2699966430664
FUL,2021,67.6324540849716,62.997161865234375
FUL,2020,58.40441292690566,63.810577392578125
FUL,2019,42.04632132176859,44.674163818359375
FUL,2018,43.69487548159413,44.316322326660156
GPC,2022,163.0306603177135,140.57000732421875
GPC,2021,131.78430384681337,149.40847778320312
GPC,2020,106.97946972486032,115.9726333618164
GPC,2019,82.65151684217719,88.68557739257812
GPC,2018,88.37311246955537,85.87345123291016
GRC,2022,27.08192388374967,31.6200008392334
GRC,2021,33.62901150234162,23.99275016784668
GRC,2020,32.380705183720686,35.077903747558594
GRC,2019,30.466063123300255,29.021270751953125
GRC,2018,29.81190128250426,31.291423797607422
GWW,2022,651.1264918353928,687.030029296875
GWW,2021,486.08339025103857,501.31329345703125
GWW,2020,401.5628590374829,388.6227722167969
GWW,2019,297.8303972221466,345.3432312011719
GWW,2018,268.25715156950326,274.6415100097656
HRL,2022,41.79068933920082,37.70000076293945
HRL,2021,46.176250321524485,45.040767669677734
HRL,2020,44.629373056480134,39.0233268737793
HRL,2019,43.339569228578846,45.83993911743164
HRL,2018,38.325567724220306,40.080387115478516
ITW,2022,228.1487204867055,230.41000366210938
ITW,2021,205.20038731892905,182.7386932373047
ITW,2020,204.22008900433423,197.37289428710938
ITW,2019,159.79276336426753,179.13963317871094
ITW,2018,128.41187362366938,137.87925720214844
JNJ,2022,162.65645340999285,155.33999633789062
JNJ,2021,163.33731854151165,158.63803100585938
JNJ,2020,151.08783521310266,151.9765625
JNJ,2019,130.30606225002333,135.04164123535156
JNJ,2018,120.31941721638836,120.16077423095703
KMB,2022,128.67511177822888,120.55000305175781
KMB,2021,124.798310143607,110.01937866210938
KMB,2020,123.82168764517127,123.0427017211914
KMB,2019,124.60809225865094,132.7324981689453
KMB,2018,106.65835550011866,123.81436157226562
KO,2022,59.70486006413798,54.880001068115234
